Region,Brca1,E2f6,Esrrb,Foxm1,Grhl2,Hdac2,Klf5,Max,Mga,Nanog,Nfkb2,Patz1,Pou5f1,Rad21,Rel,Rela,Rest,Sin3a,Smc3,Sox2,Sp1,Tbx3,Tlr4,Zfp281,Zfp42,Zic3,openness,GCcontent,Label
region 6695,0,0,0,0,1004.93485,0,87145.69397,0,0,119190.6418,0,0,0,0,0,0,0,0,0,0,97437.80074,0,0,0,0,0,29.65372283,0.544061,0
region 6696,0,0,0,0,0,0,100609.7296,0,91176.21542,70825.33841,0,38416.87015,716910.1136,0,0,0,0,0,0,157268.1161,25610.36272,64047.25329,0,0,0,3825.262668,14.04524017,0.570707,0
region 6697,0,0,31586.62296,0,0,0,51063.79139,0,48204.9413,94157.44927,0,14389.38255,0,0,0,0,0,0,0,69216.92973,42014.88336,33861.83635,0,0,0,0,4.17013295,0.478032,0
region 6698,0,0,0,0,0,0,302713.0956,8422.967887,36195.31331,0,0,0,0,0,0,0,0,12836.06926,0,0,66420.46289,25425.60457,0,0,0,0,10.19503713,0.495327,0
region 6699,0,0,18637.02211,0,0,0,52037.00659,0,61391.80598,40161.68549,0,0,639759.3332,0,0,0,0,0,0,0,0,43125.02477,0,0,0,0,5.910572934,0.4294,0
region 6700,0,0,0,0,0,0,498258.827,0,0,0,0,0,0,0,0,0,0,0,0,0,119519.1434,0,0,0,0,0,20.26597682,0.496324,0
region 6701,0,0,0,0,0,0,98834.93143,0,18127.84115,34110.01938,0,13989.03872,691213.2037,0,0,0,0,0,0,72877.62935,25889.09874,12734.00556,0,0,0,2595.823878,20.15939614,0.355705,0
region 6702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74288974,0.423237,0
region 6703,0,0,0,0,0,0,0,0,100767.6154,152051.1049,0,0,0,0,0,0,0,0,0,260016.1559,0,70784.78698,0,0,0,3825.262668,19.35476022,0.517588,0
region 6704,0,0,0,0,0,0,0,0,16746.02096,39390.85491,0,0,0,0,0,0,0,0,0,0,23725.27321,11763.33807,0,0,0,0,20.13734154,0.461538,0
region 6705,0,0,0,11458.00543,0,86642.86821,0,0,0,107758.458,0,0,1018766.759,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12643688,0.416149,0
region 6706,0,0,0,0,0,0,38812.17361,0,32759.1705,32861.01596,0,14389.38255,0,0,0,0,0,0,0,0,18616.85894,23011.86643,0,0,0,0,12.42118532,0.473404,0
region 6707,0,0,0,0,0,0,0,0,0,38691.64616,0,0,0,0,0,0,0,0,0,0,0,0,5.957065578,0,0,0,14.78360289,0.439863,0
region 6708,0,0,0,0,0,0,51218.30195,0,0,137495.3272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823.043096,12.91830271,0.391566,0
region 6709,0,0,0,0,0,0,0,0,0,200697.401,0,0,4485039.765,0,0,0,0,0,0,224204.5652,19051.81756,0,0,0,279710.8032,5479.652776,21.17362709,0.456621,0
region 6710,0,0,28627.35207,0,0,0,239130.8697,0,15096.14635,43658.17972,0,38673.07162,849049.104,0,0,0,0,0,0,0,92793.14576,10604.37423,0,0,0,0,11.76922476,0.535411,0
region 6711,0,0,0,0,0,0,285953.5339,0,0,0,0,0,0,0,0,0,0,0,0,0,20800.22891,0,0,0,0,0,11.05404845,0.45815,0
region 6712,0,1544.297983,20148.29877,0,0,0,0,0,16379.82354,152812.9188,0,0,2534542.005,0,0,0,0,0,0,101220.5895,0,11506.1006,0,0,0,3480.755232,19.93701465,0.403226,0
region 6713,0,0,56345.19101,18070.02923,0,87392.03556,0,0,0,119945.514,0,12805.62338,0,0,0,0,0,0,0,594993.0255,0,0,0,0,0,0,12.6661747,0.477223,0
region 6714,0,0,0,0,0,0,521302.1374,0,0,116419.6284,0,26754.97474,0,0,0,0,0,0,0,67383.73067,180252.3544,0,0,0,0,3635.16354,32.78728176,0.601533,0
region 6715,0,0,0,0,0,0,135829.6926,0,31185.21305,38254.67994,0,14389.38255,0,0,0,0,0,0,0,77462.35473,115490.1833,21906.23103,0,0,0,0,6.33406387,0.559006,0
region 6716,0,0,0,16962.3704,0,84323.96042,0,0,0,37456.99032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.45538521,0.38983,0
region 6717,0,0,0,19064.37976,0,96728.16008,0,0,32580.26737,68761.82008,0,0,0,0,0,0,0,0,0,0,0,22886.1949,0,0,0,0,21.09217999,0.403509,0
region 6718,0,0,0,16785.27566,2135.603795,84043.26256,312166.9321,0,83264.39523,116321.7959,0,12608.06112,718128.989,0,0,0,0,0,0,77462.35473,24786.61964,58489.55001,0,6461.805555,0,3496.264853,10.07970142,0.476096,0
region 6719,0,1753.757589,50413.57778,0,2053.462026,0,105048.5482,0,20550.01133,195886.056,10759.726,0,0,0,388.1704075,11847.26881,0,0,0,242520.0159,0,14435.47283,0,0,0,3650.673161,27.46481249,0.50641,0
region 6720,0,1871.082369,20007.88127,26443.95086,0,142678.4714,40077.18583,0,0,0,0,12608.06112,0,0,0,0,0,0,0,142218.7742,19223.6416,0,0,9526.310874,0,0,15.19215238,0.606618,0
region 6721,0,1576.334921,0,5503.682827,0,42493.7434,0,7577.291421,15665.90248,0,0,0,921406.9527,0,0,0,0,11547.31192,0,297515.5532,0,11004.60268,0,0,0,0,14.35419884,0.49026,0
region 6722,0,0,46145.52834,0,0,0,0,0,33248.72297,70602.23432,0,0,0,0,0,0,0,0,0,0,0,23355.75536,0,0,0,0,8.396840131,0.576577,0
region 6723,0,0,44962.07489,0,0,0,143130.6688,0,48084.86172,0,0,0,0,0,0,0,0,0,0,0,68654.83748,33777.48576,0,0,0,0,7.489371102,0.483568,0
region 6724,0,1609.746267,23199.15827,0,0,0,0,0,0,0,0,0,0,249512.7322,0,0,0,0,34937.90816,0,0,0,0,0,0,0,11.27362603,0.469136,0
region 6725,0,0,0,0,0,0,0,7169.240275,0,66137.55869,0,0,0,0,0,0,0,10925.46784,0,0,16518.5381,0,0,5891.610127,0,0,6.212902375,0.447653,0
region 6726,0,0,0,0,0,0,42107.22959,0,15777.34297,32644.40991,0,14389.38255,610277.6195,0,0,0,0,0,0,0,20197.38347,11082.88469,0,0,0,0,13.23156891,0.412811,0
region 6727,0,0,0,0,0,0,0,0,16985.11126,0,0,0,0,0,0,0,0,0,0,0,0,11931.28842,0,0,0,0,12.49274433,0.466667,0
region 6728,0,0,0,17061.18163,0,83316.36099,102763.9761,0,0,140560.0837,0,0,1771768.619,269604.6605,0,0,0,0,37751.2714,89391.11168,51992.28447,0,0,9382.507497,0,0,3.257774652,0.406646,0
