"","probability"
"region 1288",0.466006289739063
"region 1289",0.887929689963691
"region 1301",0.886034109019664
"region 1322",0.35947999936981
"region 1324",0.90784179903542
"region 1335",0.882059935516008
"region 1336",0.784274118657457
"region 1341",0.291001845317629
"region 1351",0.768620108420288
"region 1352",0.933604701751748
"region 1361",0.908838414834869
"region 1373",0.898330753108279
"region 1397",0.800327889312591
"region 1406",0.563462925974552
"region 1408",0.800768407988299
"region 1418",0.894128551810045
"region 1420",0.852246727034594
"region 1440",0.889574191234275
"region 1441",0.844154762529506
"region 1449",0.928149396465512
"region 1462",0.648553269031982
"region 1463",0.862562124135195
"region 1477",0.918489021414058
"region 1482",0.518376693618903
"region 1503",0.548331436913058
"region 1506",0.896932597809769
"region 1509",0.603420743636503
"region 1510",0.35308194568127
"region 1511",0.675343213870048
"region 1531",0.765969731759386
"region 1538",0.61068376259899
"region 1549",0.20601695461114
"region 1550",0.621737521476654
"region 1552",0.379645128291504
"region 1553",0.740984895817474
"region 1554",0.815098645909656
"region 1563",0.0406581815809259
"region 1570",0.95125442616401
"region 1572",0.743423284267703
"region 1574",0.594412053915395
"region 1577",0.442627136640073
"region 1598",0.973680063476513
"region 1606",0.909648174509497
"region 1634",0.924588366822852
"region 1635",0.956286640992694
"region 1642",0.813130203378677
"region 1643",0.899010801177357
"region 1670",0.672191458026719
"region 1689",0.277196521100265
"region 1707",0.956623943658876
"region 1725",0.869161551536421
"region 1742",0.873173942313747
"region 1747",0.944553596402267
"region 1755",0.901991003983647
"region 1804",0.838686104514575
"region 1812",0.199871085014279
"region 1828",0.923932892845201
"region 1830",0.862228597706561
"region 1851",0.774805216612156
"region 1864",0.962607621733343
"region 1882",0.379277564961045
"region 1885",0.965245771467988
"region 1899",0.858381691168532
"region 1902",0.830486306311165
"region 1905",0.737959817309652
"region 1919",0.893926056239708
"region 1920",0.657345040679732
"region 1924",0.682588649885141
"region 1928",0.869114802136874
"region 1932",0.552864071889971
"region 1972",0.981539469965458
"region 1975",0.794382427614187
"region 2008",0.794251163620041
"region 2013",0.76098350629551
"region 2019",0.0163107995170843
"region 2022",0.814383515381933
"region 2036",0.309795242180203
"region 2044",0.488013175978563
"region 2049",0.750251066107582
"region 2056",0.795060155772861
"region 2060",0.598883357088019
"region 2080",0.924041059842315
"region 2095",0.912721762137368
"region 2097",0.792935018793738
"region 2121",0.963702837891892
"region 2123",0.886905433537783
"region 2137",0.21624004246977
"region 2138",0.943079426996134
"region 2146",0.797471077051505
"region 2173",0.294124089868212
"region 2193",0.69442185812139
"region 2200",0.960689484370165
"region 2205",0.861332858360774
"region 2208",0.871364817149809
"region 2213",0.975797432064954
"region 2214",0.897597426628615
"region 2225",0.918470426143842
"region 2231",0.942806136386126
"region 2248",0.282018104388307
"region 2264",0.554450224208774
"region 2265",0.89712895192851
"region 2271",0.127328498403348
"region 2273",0.14896679226879
"region 2275",0.462618042619356
"region 2278",0.971995210610769
"region 2280",0.800808806605558
"region 2282",0.346016653590934
"region 2291",0.81013369954083
"region 2295",0.934531770344806
"region 2298",0.860637040699642
"region 2306",0.844405887286435
"region 2317",0.56530240007476
"region 2321",0.745534748324009
"region 2327",0.62083706675252
"region 2338",0.461474510033476
"region 2348",0.797420759974323
"region 2369",0.441898946961718
"region 2378",0.862766014658272
"region 2380",0.697531241847227
"region 2381",0.447385970693732
"region 2393",0.357339587557672
"region 2408",0.727714133214543
"region 2420",0.834922187214072
"region 2425",0.649028271567083
"region 2443",0.87357908535457
"region 2453",0.851224277170288
"region 2476",0.989412995477854
"region 2480",0.427569756948691
